transaction_id,customer_id,customer_name,country,date,amount,category,merchant,currency
TX000023,CUST0139,仇倩,CN,2024-11-18T21:59:29.913711,-116.19,Healthcare,"Vaughn, Park and Smith",CNY
TX000024,CUST0010,Ruth Jones,GB,2025-05-02T17:05:29.913711,-179.96,Utilities,Morgan-Bauer,AUD
TX000025,CUST0158,Catalina Domínguez-Grau,ES,2025-01-18T18:17:29.913711,-44.02,Groceries,Myers-Mosley,AUD
TX000026,CUST0006,Janine Beyer,DE,2025-01-31T10:21:29.913711,-18.49,Travel,Pay,JPY
TX000027,CUST0068,Samuel Escrivá Barral,ES,2025-01-21T08:28:29.913711,-192.45,Travel,Pennington Inc,JPY
TX000028,CUST0117,Leocadio Severino Bermejo Rius,ES,2025-04-28T20:14:29.913711,-155.62,Shopping,Smith Group,JPY
TX000029,CUST0102,Adrien Charpentier,FR,2025-04-17T19:17:29.913711,-49.2,Groceries,"Klein, Gallagher and Haas",AUD
TX000030,CUST0173,渡辺 知実,JP,2025-08-01T20:23:29.913711,-10.77,Groceries,Harris Inc,INR
TX000031,CUST0009,小川 知実,JP,2024-12-26T05:49:29.913711,-46.65,Travel,"Gardner, Meyer and Dean",EUR
TX000032,CUST0098,Rocco Anichini-Scarpetta,IT,2025-08-22T16:38:29.913711,-114.97,Groceries,"Garza, Lawson and Bautista",JPY
TX000033,CUST0093,अयान कृष्णमूर्ति,IN,2025-06-08T13:04:29.913711,-78.48,Shopping,Pruitt-Sanders,EUR
TX000034,CUST0184,Susan Briand,FR,2025-04-03T02:41:29.913711,-136.39,Rent,"Dean, Henry and Lee",GBP
TX000035,CUST0049,Samuel Gray-King,GB,2025-06-04T07:46:29.913711,-23.95,Dining,Wilson-Norris,INR
TX000036,CUST0103,宋博,CN,2025-08-07T10:41:29.913711,-116.17,Utilities,Price-West,CNY
TX000037,CUST0119,Iara Esteves,PT,2025-06-15T01:05:29.913711,-107.73,Utilities,Say,GBP
TX000038,CUST0168,Charlotte Teixeira,FR,2024-12-13T19:54:29.913711,-79.24,Rent,Malone-Thomas,JPY
TX000039,CUST0172,松本 康弘,JP,2025-04-07T18:13:29.913711,-195.24,Groceries,"Hoffman, Flores and Smith",CAD
TX000040,CUST0156,Luka Zevenboom-Arts,NL,2024-12-08T00:48:29.913711,-87.74,Shopping,Allen Group,AUD
TX000041,CUST0126,Vigo van der Flaas,NL,2025-05-23T17:31:29.913711,-198.92,Rent,Beard and Sons,EUR
TX000042,CUST0199,王刚,CN,2025-06-05T17:33:29.913711,-64.3,Shopping,"Martin, Walker and Proctor",JPY
TX000043,CUST0031,Ing. Krista Kallert MBA.,DE,2025-06-21T15:13:29.913711,-96.43,Entertainment,Edwards-Davis,CNY
TX000044,CUST0193,अंकुर वाल,IN,2025-06-15T06:14:29.913711,-101.57,Dining,Large,CAD
TX000045,CUST0040,Alice Nogueira,PT,2025-07-02T00:38:29.913711,-36.23,Dining,Lucas-Gordon,CAD
TX000046,CUST0160,Dipl.-Ing. Francesca Harloff B.Sc.,DE,2025-03-02T18:50:29.913711,-144.28,Groceries,Harrington Inc,CNY
TX000047,CUST0138,Rafaela Pereira,PT,2024-12-11T14:31:29.913711,-64.68,Utilities,"Branch, Stephens and Carter",EUR
TX000048,CUST0106,आशा कृष्णन,IN,2025-05-27T20:56:29.913711,-187.86,Entertainment,Technology,AUD
TX000049,CUST0197,Carlota Company Rojas,ES,2025-08-27T08:23:29.913711,-50.71,Shopping,Brown-Guerrero,USD
TX000050,CUST0090,"मदन, ऐश्वर्या",IN,2025-04-01T23:16:29.913711,-37.03,Shopping,Chambers-Rodriguez,JPY
TX000051,CUST0124,Christl Schacht,DE,2025-02-20T18:49:29.913711,-124.17,Entertainment,"Jackson, Webb and Cook",AUD
TX000052,CUST0185,吴超,CN,2025-01-24T01:20:29.913711,-78.66,Groceries,Lloyd Group,AUD
TX000053,CUST0151,Dott. Mirko Buonauro,IT,2025-08-16T07:23:29.913711,-116.42,Groceries,Congress,GBP
TX000054,CUST0012,Wilson Baptista,PT,2025-03-13T22:42:29.913711,-136.27,Utilities,Moss-Berry,AUD
TX000055,CUST0071,Rosario Guinizzelli-Trillini,IT,2025-06-03T19:15:29.913711,-196.22,Groceries,Gardner Inc,CNY
TX000056,CUST0057,陆彬,CN,2025-09-28T13:11:29.913711,-459.74,Transfer,Dickerson-Davis,JPY
TX000057,CUST0051,Jill Brooks,GB,2024-11-11T05:31:29.913711,-107.66,Utilities,Ware LLC,JPY
TX000058,CUST0119,Iara Esteves,PT,2025-10-24T19:11:29.913711,-81.85,Travel,Behavior,EUR
TX000059,CUST0199,王刚,CN,2025-01-22T19:28:29.913711,-18.87,Healthcare,"Wells, York and Jordan",AUD
TX000060,CUST0101,Gordon Lowe,GB,2025-02-09T12:59:29.913711,-77.69,Dining,Taylor PLC,INR
TX000061,CUST0175,王云,CN,2025-09-03T14:12:29.913711,282.64,Transfer,Williams-Lynn,AUD
TX000062,CUST0169,Herr Felix Gorlitz B.Eng.,DE,2025-05-08T12:54:29.913711,-197.53,Rent,"Brown, Patel and Ray",CAD
TX000063,CUST0027,Azra van der Horst,NL,2025-06-09T22:02:29.913711,-110.35,Shopping,"Thompson, Brown and Gibson",GBP
TX000064,CUST0187,Amber Smith,GB,2025-07-26T06:39:29.913711,-20.67,Rent,Mcclain-Henderson,CAD
TX000065,CUST0111,Herr Guntram Schaaf,DE,2025-08-30T18:42:29.913711,-38.01,Shopping,Jennings Inc,CAD
TX000066,CUST0062,Henri Philippe,FR,2025-06-26T05:01:29.913711,-134.4,Rent,Washington Group,CNY
TX000067,CUST0046,Jodi Moses,US,2025-07-07T16:44:29.913711,-133.63,Shopping,Democrat,INR
TX000068,CUST0142,Dionisio Pozo Gallo,ES,2024-11-06T02:34:29.913711,-59.59,Groceries,Olsen-Rice,JPY
TX000069,CUST0176,Nicoletta Mannoia,IT,2025-07-02T07:07:29.913711,-45.38,Entertainment,"Mcguire, Allen and Peters",JPY
TX000070,CUST0103,宋博,CN,2025-10-20T17:41:29.913711,-128.04,Rent,"Young, Lewis and Coleman",CNY
TX000071,CUST0108,Noah Simões,PT,2025-08-08T20:44:29.913711,-147.17,Dining,Dunn LLC,EUR
TX000072,CUST0184,Susan Briand,FR,2025-02-06T20:29:29.913711,-14.58,Dining,Walker-Coleman,JPY
TX000073,CUST0055,逯雪,CN,2025-07-05T19:08:29.913711,-51.76,Rent,"Robertson, Mora and Bennett",EUR
TX000074,CUST0049,Samuel Gray-King,GB,2025-03-31T17:45:29.913711,-197.24,Groceries,Jones PLC,INR
TX000075,CUST0011,林丽华,CN,2024-11-28T03:40:29.913711,-175.38,Dining,Create,CAD
TX000076,CUST0026,Monique-Antoinette Chevalier,FR,2024-11-07T04:40:29.913711,-114.11,Entertainment,Malone PLC,USD
TX000077,CUST0064,Karl Bowen,GB,2025-07-02T14:14:29.913711,-104.11,Groceries,"Wade, Harmon and Garrett",USD
TX000078,CUST0038,Ms Joan White,GB,2025-01-16T04:41:29.913711,-151.6,Groceries,"Melendez, Patrick and Contreras",AUD
TX000079,CUST0155,Andrea Kranz,DE,2025-09-02T05:36:29.913711,-125.83,Dining,Media,INR
TX000080,CUST0150,ललित दत्ता,IN,2025-06-07T19:58:29.913711,-81.12,Rent,"Gonzalez, Hill and Massey",JPY
TX000081,CUST0160,Dipl.-Ing. Francesca Harloff B.Sc.,DE,2025-02-16T19:04:29.913711,-153.23,Groceries,Morgan Group,GBP
TX000082,CUST0000,"नाम, आनन्द",IN,2025-05-29T01:06:29.913711,-143.2,Rent,Crosby Group,INR
TX000083,CUST0179,Luke Palmer,GB,2025-06-20T13:05:29.913711,-148.41,Utilities,"Manning, Fernandez and Padilla",JPY
TX000084,CUST0108,Noah Simões,PT,2024-12-29T03:36:29.913711,-22.86,Rent,At,EUR
TX000085,CUST0015,Jacob Moore-Martin,GB,2025-01-23T20:00:29.913711,-89.0,Dining,Martinez and Sons,EUR
TX000086,CUST0119,Iara Esteves,PT,2025-10-18T20:06:29.913711,2905.72,Salary,Harper LLC,CAD
TX000087,CUST0020,Charles Parrish,US,2025-09-02T12:18:29.913711,3256.25,Salary,Johnson LLC,EUR
TX000088,CUST0058,Michel Pinto,FR,2025-10-12T04:59:29.913711,499.57,Transfer,Stewart Ltd,INR
TX000089,CUST0147,"पुष्कर, रश्मी",IN,2024-11-20T15:52:29.913711,-113.77,Entertainment,Bender PLC,AUD
TX000090,CUST0162,Ms Sheila Price,GB,2025-07-09T12:52:29.913711,-135.0,Travel,Bridges-Hooper,GBP
TX000091,CUST0084,佐々木 明美,JP,2025-05-30T08:53:29.913711,-15.69,Utilities,Him,USD
TX000092,CUST0116,斎藤 桃子,JP,2024-12-15T20:38:29.913711,-10.81,Travel,Allen-West,USD
TX000093,CUST0168,Charlotte Teixeira,FR,2025-08-05T00:48:29.913711,-98.9,Groceries,Hampton-Alexander,CAD
TX000094,CUST0160,Dipl.-Ing. Francesca Harloff B.Sc.,DE,2025-06-14T11:35:29.913711,-174.45,Utilities,Howard PLC,CAD
TX000095,CUST0031,Ing. Krista Kallert MBA.,DE,2024-11-15T07:00:29.913711,-61.59,Shopping,Williams-Martinez,USD
TX000096,CUST0141,高橋 直人,JP,2025-05-27T12:36:29.913711,412.93,Transfer,Padilla-Williams,EUR
TX000097,CUST0165,गणेश वफादार,IN,2025-01-18T02:21:29.913711,-100.77,Dining,Carter-Riley,CAD
TX000098,CUST0120,曾霞,CN,2025-03-05T00:57:29.913711,-162.83,Groceries,Wood-Williams,GBP
TX000099,CUST0017,Simone Guichard de la Hervé,FR,2025-03-21T23:43:29.913711,7.74,Transfer,Simple,INR
TX000100,CUST0185,吴超,CN,2025-04-02T04:59:29.913711,-10.36,Transfer,"Brown, Aguirre and Lee",CAD
TX000101,CUST0088,Gonçalo Anjos,PT,2025-04-20T04:10:29.913711,-111.21,Healthcare,Torres Ltd,JPY
TX000102,CUST0178,Tammy Buchanan,US,2025-03-03T04:46:29.913711,-48.77,Utilities,"Wu, Dunn and Bruce",CAD
TX000103,CUST0180,Ugo Micheletti-Parini,IT,2025-05-14T23:04:29.913711,-72.86,Shopping,Wilson-Garcia,USD
TX000104,CUST0032,Kyara do Gaspar,PT,2025-07-16T04:43:29.913711,-29.53,Shopping,Watson and Sons,CAD
TX000105,CUST0003,Darío Matas,ES,2025-01-13T00:17:29.913711,-169.9,Rent,"Jacobs, Summers and Esparza",INR
TX000106,CUST0086,Maurizio Wulf,DE,2025-09-16T08:47:29.913711,-33.91,Rent,College,AUD
TX000107,CUST0081,孙淑英,CN,2025-09-17T09:18:29.913711,-29.89,Dining,"Moore, Woodward and Mitchell",EUR
TX000108,CUST0060,Brianna Smith,US,2025-09-20T08:20:29.913711,-155.64,Utilities,Johns-Clay,EUR
TX000109,CUST0194,Finn Vermeulen,NL,2025-09-21T09:17:29.913711,-167.56,Groceries,Phillips-Jones,USD
TX000110,CUST0011,林丽华,CN,2025-04-15T11:40:29.913711,-116.02,Travel,"Peck, Smith and Burton",AUD
TX000111,CUST0144,Tiffany Thompson,US,2025-10-15T15:32:29.913711,-81.15,Groceries,Castaneda-Simpson,JPY
TX000112,CUST0127,Ross Dennis,GB,2025-08-25T14:36:29.913711,-150.47,Entertainment,"Wilson, Porter and Bruce",USD
TX000113,CUST0119,Iara Esteves,PT,2025-03-28T07:56:29.913711,-113.86,Groceries,Guzman-Smith,INR
TX000114,CUST0163,"हेगडे, विहान",IN,2025-06-06T08:38:29.913711,-141.09,Entertainment,Note,CAD
TX000115,CUST0027,Azra van der Horst,NL,2025-03-01T22:58:29.913711,-142.3,Travel,Lewis LLC,USD
TX000116,CUST0168,Charlotte Teixeira,FR,2025-05-21T18:22:29.913711,-66.27,Healthcare,"Jones, Williams and Green",USD
TX000117,CUST0155,Andrea Kranz,DE,2025-07-12T20:11:29.913711,-81.62,Shopping,Allison LLC,JPY
TX000118,CUST0158,Catalina Domínguez-Grau,ES,2025-03-09T08:10:29.913711,-71.46,Dining,Few,EUR
TX000119,CUST0160,Dipl.-Ing. Francesca Harloff B.Sc.,DE,2025-09-26T11:41:29.913711,-193.49,Shopping,Hester LLC,GBP
TX000120,CUST0023,"गणेश, गौतम",IN,2025-03-31T21:09:29.913711,2405.56,Salary,"Boyd, Scott and Murray",CNY
TX000121,CUST0135,马静,CN,2025-07-14T19:15:29.913711,-21.76,Groceries,Popular,INR
TX000122,CUST0191,Dr. Michail Trupp B.Eng.,DE,2025-04-22T13:51:29.913711,-359.24,Transfer,At,AUD
TX000123,CUST0142,Dionisio Pozo Gallo,ES,2025-05-06T13:12:29.913711,-148.43,Travel,"Hale, Roberts and Lawrence",CNY
TX000124,CUST0172,松本 康弘,JP,2025-10-10T18:59:29.913711,-75.48,Travel,"Perez, Rivera and Jones",JPY
TX000125,CUST0120,曾霞,CN,2024-11-13T06:18:29.913711,-171.99,Transfer,White-Rich,EUR
TX000126,CUST0162,Ms Sheila Price,GB,2025-06-26T08:41:29.913711,-177.25,Rent,Ortega-Weaver,USD
TX000127,CUST0077,Magdalena Lucas Grande,ES,2025-07-10T13:28:29.913711,-95.18,Utilities,"Garcia, Carlson and Jones",CNY
TX000128,CUST0171,Dogan Zobel,DE,2025-10-23T03:48:29.913711,-58.31,Rent,Machine,EUR
TX000129,CUST0125,田中 春香,JP,2025-09-11T23:39:29.913711,-127.75,Groceries,"Casey, Rodriguez and Spencer",JPY
TX000130,CUST0092,Diane Lelièvre,FR,2024-12-21T07:45:29.913711,-9.32,Healthcare,Thomas Group,AUD
TX000131,CUST0070,आरुष आहूजा,IN,2025-02-05T14:16:29.913711,-182.12,Shopping,Kelly LLC,USD
TX000132,CUST0012,Wilson Baptista,PT,2025-04-19T17:30:29.913711,-159.98,Shopping,Ability,JPY
TX000133,CUST0150,ललित दत्ता,IN,2025-02-18T17:43:29.913711,-46.21,Dining,Cooper-Kirby,INR
TX000134,CUST0037,Calcedonio Cianciolo-Camiscione,IT,2025-01-06T03:38:29.913711,-178.56,Shopping,Imagine,GBP
TX000135,CUST0003,Darío Matas,ES,2025-05-02T17:59:29.913711,-166.02,Travel,Jordan-King,AUD
TX000136,CUST0134,Pedro Rodrigues,PT,2024-12-29T09:26:29.913711,-48.29,Entertainment,"Fisher, Norton and Washington",EUR
TX000137,CUST0115,高橋 康弘,JP,2025-07-15T18:01:29.913711,-47.27,Groceries,Other,INR
TX000138,CUST0117,Leocadio Severino Bermejo Rius,ES,2025-09-25T10:25:29.913711,347.3,Transfer,Brock-Joseph,EUR
TX000139,CUST0125,田中 春香,JP,2025-10-31T00:26:29.913711,-137.19,Shopping,Montgomery-Lewis,GBP
TX000140,CUST0070,आरुष आहूजा,IN,2025-09-16T06:59:29.913711,-136.59,Healthcare,Enough,INR
TX000141,CUST0116,斎藤 桃子,JP,2025-07-17T05:49:29.913711,-63.15,Groceries,Quickly,JPY
TX000142,CUST0110,Arthur Sprong,NL,2025-06-19T17:48:29.913711,-111.57,Travel,"Green, Miller and Aguilar",EUR
TX000143,CUST0080,Katy Armstrong,GB,2025-06-06T21:04:29.913711,-14.05,Utilities,Werner and Sons,CAD
TX000144,CUST0017,Simone Guichard de la Hervé,FR,2024-12-16T12:27:29.913711,6212.12,Salary,Li-Figueroa,GBP
TX000145,CUST0142,Dionisio Pozo Gallo,ES,2024-12-01T04:57:29.913711,-69.35,Healthcare,Murphy-Aguilar,AUD
TX000146,CUST0184,Susan Briand,FR,2024-11-26T20:00:29.913711,-179.8,Utilities,"Jordan, Carney and Scott",GBP
TX000147,CUST0168,Charlotte Teixeira,FR,2025-07-04T18:16:29.913711,-35.15,Groceries,"Banks, Howard and Underwood",INR
TX000148,CUST0146,Joanna Nicholson,GB,2025-02-24T00:16:29.913711,-50.35,Healthcare,"Robinson, Bradley and Lyons",USD
TX000149,CUST0155,Andrea Kranz,DE,2025-10-03T08:39:29.913711,-146.71,Groceries,Freeman-West,CNY
TX000150,CUST0089,Elba Alcaraz-Real,ES,2024-11-03T16:17:29.913711,-71.82,Groceries,Klein-Day,USD
TX000151,CUST0023,"गणेश, गौतम",IN,2025-07-29T16:46:29.913711,3386.27,Salary,Stout-Davis,CNY
TX000152,CUST0198,池田 結衣,JP,2025-08-18T05:27:29.913711,-169.66,Shopping,Diaz-Fowler,USD
TX000153,CUST0172,松本 康弘,JP,2024-12-11T18:50:29.913711,-105.3,Rent,Gomez-Bautista,INR
TX000154,CUST0055,逯雪,CN,2025-07-20T13:44:29.913711,2982.73,Salary,Ramsey-Patel,CAD
TX000155,CUST0134,Pedro Rodrigues,PT,2025-10-07T19:24:29.913711,-8.03,Utilities,Hardin PLC,JPY
TX000156,CUST0077,Magdalena Lucas Grande,ES,2025-02-16T15:10:29.913711,-136.02,Utilities,"Anderson, Chandler and Martin",AUD
TX000157,CUST0044,张芳,CN,2025-01-05T22:56:29.913711,-102.45,Dining,Base,CNY
TX000158,CUST0018,坂本 太一,JP,2025-05-23T09:24:29.913711,4218.28,Salary,Smith Ltd,CNY
TX000159,CUST0147,"पुष्कर, रश्मी",IN,2025-06-08T04:47:29.913711,-118.55,Dining,Johnson LLC,USD
TX000160,CUST0083,Hedy Ernst,DE,2025-01-27T05:51:29.913711,-20.64,Shopping,Sanders-Perez,EUR
TX000161,CUST0062,Henri Philippe,FR,2025-06-12T04:47:29.913711,-122.83,Entertainment,Matthews Ltd,CNY
TX000162,CUST0056,Leone Cusano,IT,2025-04-19T15:26:29.913711,-177.76,Entertainment,Sosa-Lewis,CNY
TX000163,CUST0089,Elba Alcaraz-Real,ES,2025-09-26T14:37:29.913711,-150.09,Groceries,Keller-Combs,GBP
TX000164,CUST0194,Finn Vermeulen,NL,2025-10-01T12:33:29.913711,127.95,Transfer,Green PLC,CAD
TX000165,CUST0174,Julia Mcdaniel,US,2025-08-17T07:02:29.913711,-176.79,Transfer,Hair,CNY
TX000166,CUST0038,Ms Joan White,GB,2025-06-13T12:52:29.913711,3119.74,Salary,Ramirez and Sons,USD
TX000167,CUST0090,"मदन, ऐश्वर्या",IN,2025-07-17T12:41:29.913711,-192.67,Entertainment,Duarte PLC,INR
TX000168,CUST0019,刘彬,CN,2025-09-26T13:01:29.913711,-125.03,Rent,"Flynn, Wade and Mccarthy",USD
TX000169,CUST0115,高橋 康弘,JP,2025-08-20T06:34:29.913711,-107.25,Travel,Martinez-Rivera,USD
TX000170,CUST0115,高橋 康弘,JP,2024-12-22T21:07:29.913711,-74.01,Groceries,Moore-Warner,CAD
TX000171,CUST0112,Pascuala Marin Figueras,ES,2025-07-27T03:01:29.913711,-127.29,Groceries,"Pratt, Knight and Bowman",AUD
TX000172,CUST0198,池田 結衣,JP,2025-04-23T08:00:29.913711,-76.98,Groceries,Jones-Mccullough,CNY
TX000173,CUST0024,阿部 真綾,JP,2025-08-13T07:46:29.913711,-58.87,Utilities,"Baird, Day and Moses",GBP
TX000174,CUST0085,Frédérique Lopez,FR,2024-12-12T05:04:29.913711,-131.78,Groceries,Sort,AUD
TX000175,CUST0033,Silvestro Palumbo,IT,2025-09-01T08:27:29.913711,-126.55,Utilities,"Page, Johnson and Rivera",GBP
TX000176,CUST0171,Dogan Zobel,DE,2025-10-26T10:05:29.913711,-181.78,Shopping,Young-Rivera,CNY
TX000177,CUST0004,Colette Chrétien de la Rodriguez,FR,2025-05-04T19:33:29.913711,-158.27,Transfer,"Young, Oconnell and Melendez",JPY
TX000178,CUST0057,陆彬,CN,2025-01-09T14:26:29.913711,-46.32,Utilities,"Mcclain, Terrell and Hicks",USD
TX000179,CUST0169,Herr Felix Gorlitz B.Eng.,DE,2025-04-22T05:30:29.913711,-169.92,Rent,"Johnson, Glenn and Campbell",GBP
TX000180,CUST0184,Susan Briand,FR,2025-06-12T11:48:29.913711,-59.68,Travel,Our,INR
TX000181,CUST0192,Ilja Zänker,DE,2025-06-17T17:56:29.913711,-11.71,Utilities,Burton Group,JPY
TX000182,CUST0094,Annunziata Bignardi,IT,2025-10-14T04:50:29.913711,-145.05,Entertainment,Thomas Group,AUD
TX000183,CUST0041,Martin Williams,GB,2025-02-11T05:30:29.913711,-189.82,Shopping,Hughes-Hahn,CNY
TX000184,CUST0141,高橋 直人,JP,2024-12-23T09:16:29.913711,-175.69,Entertainment,Thompson Ltd,GBP
TX000185,CUST0069,Bo Schulten,NL,2025-06-19T02:31:29.913711,-182.12,Shopping,Parent,CAD
TX000186,CUST0089,Elba Alcaraz-Real,ES,2024-11-13T23:25:29.913711,-127.08,Travel,Mckay Inc,EUR
TX000187,CUST0095,Robin Sexton,US,2025-02-22T10:42:29.913711,339.18,Transfer,Williams-Reese,GBP
TX000188,CUST0035,Ing. Horst Franke,DE,2024-11-19T20:20:29.913711,-64.27,Shopping,"Mosley, Anderson and Hernandez",CAD
TX000189,CUST0114,Inès Guillot,FR,2025-09-11T11:19:29.913711,-150.09,Groceries,Send,AUD
TX000190,CUST0028,周丽丽,CN,2025-03-27T17:41:29.913711,-153.5,Groceries,Flores PLC,CAD
TX000191,CUST0016,Christiane-Manon Le Goff,FR,2024-12-27T02:00:29.913711,-76.77,Healthcare,Campos and Sons,GBP
TX000192,CUST0074,Fabrizia Ossani,IT,2025-06-07T11:01:29.913711,-88.72,Travel,King LLC,EUR
TX000193,CUST0134,Pedro Rodrigues,PT,2025-05-03T12:55:29.913711,-46.65,Healthcare,Hudson-Snyder,USD
TX000194,CUST0099,Joaquim Alves,PT,2025-06-28T12:02:29.913711,-127.21,Travel,Thompson LLC,CNY
TX000195,CUST0017,Simone Guichard de la Hervé,FR,2025-04-25T18:08:29.913711,-179.79,Rent,"Rios, Lawrence and Doyle",CNY
TX000196,CUST0034,Ángela Martinez Cuadrado,ES,2024-11-22T21:56:29.913711,-74.65,Travel,Various,CAD
TX000197,CUST0178,Tammy Buchanan,US,2025-07-04T06:33:29.913711,-187.7,Shopping,"Freeman, Brown and Boyd",CAD
TX000198,CUST0009,小川 知実,JP,2025-03-30T16:24:29.913711,-27.27,Shopping,Trujillo-Jackson,INR
TX000199,CUST0131,अमायरा कुलकर्णी,IN,2025-05-23T03:52:29.913711,-53.11,Utilities,Jordan Group,CNY
TX000200,CUST0199,王刚,CN,2024-11-25T06:43:29.913711,-44.13,Utilities,Fisher Ltd,AUD
TX000201,CUST0190,渡辺 裕太,JP,2025-06-13T22:43:29.913711,-3.8,Transfer,Clark and Sons,INR
TX000202,CUST0021,森 里佳,JP,2025-06-05T12:49:29.913711,-39.64,Rent,Mendez-Evans,CNY
TX000203,CUST0026,Monique-Antoinette Chevalier,FR,2024-12-10T21:04:29.913711,-113.05,Utilities,"Wong, Juarez and Graham",GBP
TX000204,CUST0176,Nicoletta Mannoia,IT,2025-06-15T21:50:29.913711,-30.34,Groceries,"Cooper, Williams and Mclean",AUD
TX000205,CUST0070,आरुष आहूजा,IN,2025-09-23T11:26:29.913711,-120.79,Rent,Banks-Stein,GBP
TX000206,CUST0007,Roger Ryan,GB,2025-01-13T06:05:29.913711,-193.21,Dining,Booth-Carson,CNY
TX000207,CUST0092,Diane Lelièvre,FR,2025-05-16T04:24:29.913711,-67.58,Rent,Director,CNY
TX000208,CUST0113,Renate Conradi,DE,2024-12-10T04:30:29.913711,-122.38,Healthcare,"Murphy, Ford and Shah",JPY
TX000209,CUST0029,César de Amador,ES,2024-11-14T09:33:29.913711,-124.54,Entertainment,"Owens, Kline and Schmitt",INR
TX000210,CUST0198,池田 結衣,JP,2025-03-14T08:50:29.913711,-80.68,Utilities,Taylor PLC,CAD
TX000211,CUST0051,Jill Brooks,GB,2025-01-01T15:16:29.913711,-166.33,Groceries,Velasquez and Sons,EUR
TX000212,CUST0174,Julia Mcdaniel,US,2025-04-13T07:44:29.913711,-92.75,Dining,Johnson LLC,INR
TX000213,CUST0040,Alice Nogueira,PT,2025-10-31T09:21:29.913711,-166.05,Dining,"Hale, Green and Johnson",JPY
TX000214,CUST0031,Ing. Krista Kallert MBA.,DE,2025-02-10T14:37:29.913711,-194.87,Shopping,"Kelley, Bates and Johnson",CNY
TX000215,CUST0119,Iara Esteves,PT,2025-08-09T15:01:29.913711,-187.18,Shopping,Vasquez Group,CAD
TX000216,CUST0134,Pedro Rodrigues,PT,2025-05-30T00:14:29.913711,-175.56,Healthcare,Christian-Thompson,EUR
TX000217,CUST0115,高橋 康弘,JP,2025-06-27T07:55:29.913711,-28.8,Travel,"Sanders, Rubio and Dominguez",GBP
TX000218,CUST0196,Milena Sorgatz-Hartmann,DE,2025-01-05T23:54:29.913711,-189.19,Shopping,"Rose, Jenkins and Zuniga",GBP
TX000219,CUST0077,Magdalena Lucas Grande,ES,2025-01-23T15:42:29.913711,-274.53,Transfer,Body,INR
TX000220,CUST0020,Charles Parrish,US,2025-03-08T17:02:29.913711,-225.55,Transfer,Hernandez PLC,EUR
